index	return	risk	AAPL	GOOGL	MSFT	SPY	TSLA	YELP
0	0.010535711860770333	0.033907036765576055	0.17185088923367725	2.1303725656392908e-17	2.826464241692875e-17	0.6898629309334074	7.307353235962849e-18	0.13828617983291538
1	0.010801820435893455	0.033920796646551864	0.16843365039455954	0.0	7.606213565428864e-19	0.7027470741294969	4.1396094781442295e-18	0.12881927547594363
2	0.011067929011016575	0.03396205024623174	0.16501636897136918	0.0	0.0	0.7156312620661445	7.154066690590634e-19	0.11935236896248626
3	0.011334037586139697	0.03403069757725594	0.16159908723868394	5.823509374623342e-18	0.0	0.7285154503279601	0.0	0.10988546243335606
4	0.01160014616126282	0.03412657332838996	0.15818180807191498	1.614982133346376e-17	1.1001944668388145e-18	0.7413996358939196	3.6515602933478725e-18	0.1004185560341655
5	0.011866254736385941	0.03424944883582128	0.1547645264040498	1.275605173342299e-17	0.0	0.7542838240876325	0.0	0.09095164950831781
6	0.012132363311509062	0.03439903476630329	0.15134724378890343	0.0	5.015978757407764e-19	0.7671680132765977	2.5110576775547638e-18	0.08148474293449905
7	0.012398471886632184	0.03457498443998756	0.14792996634292235	1.8412952547490312e-19	0.0	0.7800521970346274	3.8453831437167075e-19	0.0720178366224503
8	0.012664580461755306	0.034776897706288626	0.14451268359346428	1.3292775641620962e-19	5.889859450873735e-19	0.7929363863647058	0.0	0.06255093004183002
9	0.012930689036878426	0.0350043252755739	0.14109540559591707	5.36908206623388e-18	9.464105552933918e-20	0.8058205707022333	2.7989626266553216e-18	0.05308402370184964
10	0.013196797612001548	0.03525677340311986	0.1376781214417325	0.0	3.5213200168534857e-19	0.8187047615081745	3.5865467624449865e-19	0.043617117050092934
11	0.01346290618712467	0.03553370881959746	0.13426084213980963	0.0	2.75317282690644e-19	0.8315889472161323	2.518287359700893e-18	0.034150210644058085
12	0.01372901476224779	0.0358345638040869	0.13084355900010122	0.0	0.0	0.8444731369562235	1.0669999176716985e-19	0.024683304043675268
13	0.013995123337370912	0.03615874130080653	0.12742627946345703	0.0	0.0	0.857357322910789	3.408022639315746e-19	0.015216397625754005
14	0.014261231912494034	0.03650141342656799	0.12484585862368736	0.004187191588678775	2.7415377322791473e-18	0.8618261562368242	6.388948663915636e-19	0.009140793550809559
15	0.014527340487617155	0.03685287446518451	0.12250112951938917	0.009553644427484853	2.562990176674117e-19	0.8639249257507998	8.437877109161017e-19	0.004020300302326212
16	0.014793449062740277	0.03721297311414125	0.12088551926908801	0.01624951402753837	9.266076996118022e-19	0.8628649667033736	0.0	2.288163776553077e-18
17	0.015059557637863399	0.037593651001414694	0.12193426348444343	0.027803306868316936	1.0716055729137257e-18	0.8502624296472396	5.52457523766496e-18	0.0
18	0.015325666212986519	0.03799984772855103	0.1229830018617458	0.03935710007874039	6.688029905333216e-19	0.8376598980595139	0.0	0.0
19	0.015591774788109641	0.03843075413421509	0.12403174087994111	0.050910893248584936	0.0	0.825057365871474	0.0	5.397252754549391e-18
20	0.015857883363232763	0.03888554877342538	0.12508048215033007	0.0624646862758285	2.0598086532068782e-18	0.8124548315738414	4.55865683628563e-18	1.5984420483259256e-17
21	0.016123991938355883	0.03936340365937538	0.12612922172054758	0.07401847941072089	0.0	0.7998522988687315	0.0	0.0
22	0.016390100513479007	0.039863489511656365	0.12717796829463124	0.08557227210215278	3.5927729717163575e-19	0.787249759603216	8.489270820068636e-19	0.0
23	0.016656209088602127	0.04038498048279182	0.12822670480543746	0.09712606543075643	0.0	0.7746472297638062	8.865582111986231e-18	0.0
24	0.016922317663725248	0.04092705835140786	0.129275439048781	0.1086798589029278	2.0254306784296376e-18	0.7620447020482912	0.0	0.0
25	0.01718842623884837	0.041488916184423776	0.13032418956567804	0.12023365134471478	1.6082500224722412e-18	0.7494421590896073	6.547553786352214e-18	1.1538918353627158e-18
26	0.01745453481397149	0.04206976148222456	0.13137292668848696	0.1317874446345685	4.884850382972353e-19	0.7368396286769445	0.0	4.300146421528598e-19
27	0.017720643389094612	0.042668818829901055	0.13242166163410138	0.1433412380622747	1.4462813904004116e-19	0.7242371003036239	0.0	2.4452310668838293e-18
28	0.017986751964217736	0.04328533208444981	0.1334704103532127	0.15489503061789103	0.0	0.7116345590288963	1.816350099676879e-18	0.0
29	0.018252860539340856	0.043918566132534545	0.13451914130879034	0.1664488242982322	0.0	0.6990320343929776	0.0	5.945653590984004e-19
30	0.018518969114463976	0.0445678082562857	0.13556789525900473	0.1780026165226332	3.014868819619474e-20	0.6864294882183621	1.0050051068856263e-18	1.6653395080347223e-18
31	0.0187850776895871	0.045232369145942565	0.13661661937204192	0.18955641063622056	0.0	0.6738269699917376	6.914589734444087e-20	0.0
32	0.01905118626471022	0.04591158359820658	0.13766536010889027	0.2011102036972458	2.436200123122245e-18	0.6612244361938641	0.0	1.125905196349085e-18
33	0.01931729483983334	0.046604810938249024	0.13871409981745172	0.21266399682337872	0.0	0.6486219033591696	6.387542331262396e-18	0.0
34	0.019583403414956464	0.04731143520164327	0.1397628396624182	0.22421778994087535	4.61429886038541e-19	0.6360193703967064	1.8581652317570094e-18	0.0
35	0.019849511990079585	0.04803086511029307	0.14081159227906243	0.23577158224971312	2.041224636189288e-18	0.6234168254712245	0.0	0.0
36	0.020115620565202705	0.048762533873882914	0.1418603181736748	0.24732537625049714	0.0	0.610814305575828	0.0	3.3627095165312357e-18
37	0.02038172914032583	0.04950589884563774	0.14290907572040154	0.2588791682471796	0.0	0.5982117560324189	0.0	2.527457421771551e-19
38	0.02064783771544895	0.05026044105837094	0.14395782711999008	0.2704329606330769	7.960523767119405e-19	0.585609212246933	0.0	0.0
39	0.02091394629057207	0.05102566466400981	0.14500653825430218	0.28198675556843233	2.2057658776642234e-18	0.5730067061772656	0.0	6.675964051353227e-20
40	0.021180054865695193	0.051801096297091065	0.14605528312076915	0.2935405483679846	3.8953983314258326e-19	0.5604041685112463	0.0	0.0
41	0.021446163440818313	0.05258628438016468	0.14710402188309238	0.3050943415540298	0.0	0.547801636562878	4.936158122632075e-18	0.0
42	0.021712272015941433	0.05338079838665897	0.14815276410018938	0.3166481345213311	3.5571357541614046e-18	0.5351991013784796	6.507316948202319e-18	0.0
43	0.021978380591064557	0.05418411805719237	0.1491154653400771	0.32779936906750334	8.057619694498341e-18	0.5223550405453997	0.0007301250470198684	0.0
44	0.022244489166187677	0.05499522898325869	0.1499950189474458	0.33856162774396636	1.0901455545531507e-18	0.5092776119021184	0.002165741406469373	0.0
45	0.022510597741310798	0.05581369177031504	0.1508745561536349	0.3493238876387636	0.0	0.49620019876358806	0.003601357444013309	0.0
46	0.02277670631643392	0.05663918770575621	0.15175410220960148	0.3600861446692557	5.5427751738365254e-18	0.48312277551665467	0.005036977604488199	1.0720229675711374e-18
47	0.023042814891557042	0.05747141372656182	0.15263367196447325	0.3708484026225233	3.063060318134129e-18	0.4700453319845169	0.006472593428486565	0.0
48	0.023308923466680162	0.05831008166961478	0.15351324276112388	0.381610660030702	4.658216453859197e-18	0.45696788709824393	0.00790821010993023	0.0
49	0.023575032041803286	0.05915491754478177	0.15439278683160473	0.39237291899977816	4.2925411192084916e-18	0.44389046714231484	0.009343827026302286	7.082658444640447e-19
50	0.023841140616926406	0.060005660832692584	0.1552723343598208	0.40313517747157435	2.13077827001596e-18	0.4308130437278466	0.010779444440758287	6.605713885776082e-19
51	0.024107249192049526	0.06086206380851666	0.15615188227185783	0.4138974357408513	1.14633470927498e-17	0.4177356198131389	0.012215062174152084	0.0
52	0.02437335776717265	0.061723890892597125	0.15703143427948718	0.42465969329266184	1.1853024783913084e-18	0.4046581917004613	0.01365068072738962	2.82871113423084e-19
53	0.02463946634229577	0.06259091802838555	0.1579109964337085	0.43542195088712127	0.0	0.39158075462450925	0.015086298054661058	7.100426221909629e-19
54	0.02490557491741889	0.06346293208776678	0.15879055130429742	0.4461842089236132	0.0	0.3785033243558915	0.01652191541619784	1.7643691404329545e-18
55	0.025171683492542014	0.06433973030361935	0.15967008451607942	0.4569464704638558	3.5863919144451e-18	0.36542591605822466	0.017957528961840174	0.0
56	0.025437792067665135	0.06522111972922393	0.16054967689510644	0.4677087228247694	7.642822370898719e-19	0.35234844805023774	0.01939315222988659	0.0
57	0.025703900642788255	0.0661069167239749	0.16142918226244435	0.4784709854290211	0.0	0.33927106528218015	0.02082876702635445	5.983900093317747e-19
58	0.02597000921791138	0.0669969464646941	0.1623087371592849	0.48923324324814166	0.0	0.3261936348186618	0.02226438477391149	2.0884713474859314e-18
59	0.0262361177930345	0.06789104248176649	0.1631882523835266	0.4999955065620797	0.0	0.31311624387080844	0.023699997183585307	2.694088573516338e-18
60	0.026502226368157623	0.06878904621925264	0.16406784002033326	0.5107577600936869	0.0	0.3000387809919615	0.02513561889401832	9.766249483281162e-19
61	0.026768334943280743	0.06969080661804236	0.1649473872443501	0.5215200194152614	0.0	0.2869613585181127	0.026571234822275924	1.1429011667581401e-18
62	0.027034443518403863	0.07059617972112836	0.16582692163491466	0.5322822784081096	0.0	0.2738839471640887	0.02800685279288705	2.4088378350392706e-19
63	0.027300552093526987	0.07150502830002883	0.16670653500735175	0.5430445315058894	2.5234769901012695e-18	0.2608064611230614	0.029442472363697368	0.0
64	0.027566660668650107	0.07241722150140417	0.16758608730974484	0.5538067889887257	0.0	0.24772903269455437	0.030878091006974966	1.062185076485254e-19
65	0.027832769243773228	0.0733326345129133	0.16846559988569398	0.5645690527732218	6.46980064562262e-18	0.2346516444664212	0.032313702874663064	0.0
66	0.02809887781889635	0.07425114824735714	0.1693451949516602	0.5753313040956949	0.0	0.22157417325608392	0.033749327696561054	0.0
67	0.02836498639401947	0.07517264904420354	0.1702247181812331	0.5860935661449366	0.0	0.20849677421147617	0.03518494146235414	3.0749859238327957e-19
68	0.028631094969142592	0.07609702838758305	0.1711042429806132	0.596855827316499	0.0	0.19541937308198656	0.036620556620901155	0.0
69	0.028897203544265716	0.07702418263989243	0.17198379420357904	0.6076180827955654	0.0	0.1823419440286656	0.03805617897218983	8.368642535356375e-19
70	0.029163312119388836	0.07795401279018449	0.1728633469109195	0.6183803441443778	4.331330853386148e-18	0.16926451829324168	0.03949179065146103	0.0
71	0.029429420694511956	0.07888642421650616	0.1737429026094548	0.6291426037837056	4.6903313684823945e-18	0.1561870885559004	0.04092740505093925	0.0
72	0.02969552926963508	0.0798213264614552	0.17462246546713214	0.639904860792166	0.0	0.14310965039355264	0.042363023347149247	0.0
73	0.0299616378447582	0.0807586330201979	0.17550198269023096	0.6506671185005237	1.9781479371575484e-18	0.13003225324779233	0.04379864556145291	0.0
74	0.03022774641988132	0.08169826114025855	0.1763815705157061	0.6614293744502999	2.5203316486575924e-18	0.11695479211075753	0.0452342629232366	0.0
75	0.030493854995004444	0.0826401316323854	0.17726113330805185	0.6721916317752709	0.0	0.10387735425623244	0.046669880660444855	0.0
76	0.030759963570127564	0.08358416869192194	0.1781406235240983	0.6829538944365925	1.070982547817017e-17	0.09079998496779469	0.0481054970715145	4.788668107274264e-19
77	0.031026072145250685	0.08453029973001823	0.17902018211111223	0.6937161512978247	0.0	0.07772255047600912	0.04954111611505416	1.316834560226185e-18
78	0.031292180720373805	0.08547845521416476	0.17989980268646516	0.7044784077883074	2.1339259368472475e-17	0.06464506072665328	0.05097672879857406	0.0
79	0.03155828929549693	0.08642856851746376	0.18077935487885524	0.7152406619835555	9.654974120271697e-18	0.05156762980018767	0.05241235333740159	1.0546899950254737e-18
80	0.03182439787062005	0.08738057577620728	0.18165884762106094	0.7260029244706857	6.007795705691177e-18	0.0384902581343123	0.053847969773941025	0.0
81	0.03209050644574317	0.08833441575519092	0.18253841662452272	0.7367651846180906	0.0	0.025412817000687423	0.05528358175669916	3.1464294338667866e-18
